"source","target","value"
"Administration Of Justice","Interest And Dividends",2678215.14
"Administration Of Justice","Research And Development Contracts",55446536.17
"Administration Of Justice","Grants, Subsidies, And Contributions",490726777.95
"Administration Of Justice","Acquisition Of Assets",502540385.77
"Administration Of Justice","Travel And Transportation",627211116.54
"Administration Of Justice","Refunds",849421796.85
"Administration Of Justice","Insurance Claims And Indemnities",1246138004.77
"Administration Of Justice","Rental Payments",1839892648.61
"Administration Of Justice","Operations, Benefits, Services, And Materials",13052263500.18
"Administration Of Justice","Personnel Compensation And Benefits",17826853485.07
"Agriculture","Refunds",58928.75
"Agriculture","Rental Payments",139468.86
"Agriculture","Interest And Dividends",2548706.04
"Agriculture","Acquisition Of Assets",469454068.19
"Agriculture","Travel And Transportation",526258981.5
"Agriculture","Research And Development Contracts",2838458964.14
"Agriculture","Grants, Subsidies, And Contributions",5974149108.75
"Agriculture","Personnel Compensation And Benefits",15709394085.01
"Agriculture","Operations, Benefits, Services, And Materials",23578279307
"Agriculture","Insurance Claims And Indemnities",59271579018.23
"Commerce And Housing Credit","Interest And Dividends",175544.19
"Commerce And Housing Credit","Refunds",2334667.82
"Commerce And Housing Credit","Research And Development Contracts",2928305.42
"Commerce And Housing Credit","Travel And Transportation",82904408.56
"Commerce And Housing Credit","Acquisition Of Assets",151599187.02
"Commerce And Housing Credit","Rental Payments",253229793.82
"Commerce And Housing Credit","Operations, Benefits, Services, And Materials",2764582842.23
"Commerce And Housing Credit","Personnel Compensation And Benefits",3532684372.8
"Commerce And Housing Credit","Grants, Subsidies, And Contributions",11687810780.07
"Community And Regional Development","Refunds",31841.37
"Community And Regional Development","Rental Payments",104278658.09
"Community And Regional Development","Research And Development Contracts",148337169.83
"Community And Regional Development","Interest And Dividends",198371428.43
"Community And Regional Development","Travel And Transportation",246752684.32
"Community And Regional Development","Acquisition Of Assets",285669169.66
"Community And Regional Development","Operations, Benefits, Services, And Materials",2615291092.89
"Community And Regional Development","Insurance Claims And Indemnities",3528288564.99
"Community And Regional Development","Personnel Compensation And Benefits",3563740968.04
"Community And Regional Development","Grants, Subsidies, And Contributions",14281173980.49
"Education, Training, Employment, And Social Services","Interest And Dividends",36996.35
"Education, Training, Employment, And Social Services","Travel And Transportation",22627740.37
"Education, Training, Employment, And Social Services","Insurance Claims And Indemnities",27588056.2
"Education, Training, Employment, And Social Services","Acquisition Of Assets",61881130.66
"Education, Training, Employment, And Social Services","Research And Development Contracts",70588461.17
"Education, Training, Employment, And Social Services","Rental Payments",115247972.32
"Education, Training, Employment, And Social Services","Other",180296657.87
"Education, Training, Employment, And Social Services","Personnel Compensation And Benefits",1182662177.47
"Education, Training, Employment, And Social Services","Operations, Benefits, Services, And Materials",1515890768.25
"Education, Training, Employment, And Social Services","Grants, Subsidies, And Contributions",43534861272.42
"Energy","Insurance Claims And Indemnities",275892.46
"Energy","Refunds",1633388.94
"Energy","Travel And Transportation",34943520.98
"Energy","Interest And Dividends",59146641.31
"Energy","Rental Payments",63118216
"Energy","Acquisition Of Assets",64392903.93
"Energy","Research And Development Contracts",194777332.61
"Energy","Grants, Subsidies, And Contributions",1023149628.63
"Energy","Personnel Compensation And Benefits",1056861733.91
"Energy","Operations, Benefits, Services, And Materials",3764845079.01
"General Government","Travel And Transportation",123188768.98
"General Government","Research And Development Contracts",297134105.69
"General Government","Interest And Dividends",351131058.05
"General Government","Acquisition Of Assets",1130805188.92
"General Government","Insurance Claims And Indemnities",2163936162.37
"General Government","Rental Payments",3461435904.59
"General Government","Grants, Subsidies, And Contributions",3693618726.15
"General Government","Operations, Benefits, Services, And Materials",13702821171.86
"General Government","Personnel Compensation And Benefits",23403790189.6
"General Government","Refunds",185906492388.56
"General Science, Space, And Technology","Insurance Claims And Indemnities",143387.15
"General Science, Space, And Technology","Other",632830.59
"General Science, Space, And Technology","Refunds",16715311.58
"General Science, Space, And Technology","Rental Payments",33433435.33
"General Science, Space, And Technology","Acquisition Of Assets",699700294.01
"General Science, Space, And Technology","Travel And Transportation",1156453308.96
"General Science, Space, And Technology","Personnel Compensation And Benefits",1472033929.45
"General Science, Space, And Technology","Grants, Subsidies, And Contributions",1828948492.11
"General Science, Space, And Technology","Operations, Benefits, Services, And Materials",4276052486.53
"General Science, Space, And Technology","Research And Development Contracts",5198913074.82
"Governmental Receipts","Interest And Dividends",127614.16
"Health","Interest And Dividends",506722.53
"Health","Refunds",84766529.1
"Health","Acquisition Of Assets",149761069.68
"Health","Rental Payments",324112599.1
"Health","Travel And Transportation",381104816.88
"Health","Research And Development Contracts",592947572.58
"Health","Personnel Compensation And Benefits",24302538188.18
"Health","Insurance Claims And Indemnities",28771040206.85
"Health","Operations, Benefits, Services, And Materials",37736240966.72
"Health","Grants, Subsidies, And Contributions",253085678795.71
"Income Security","Travel And Transportation",44708011.29
"Income Security","Acquisition Of Assets",90258321.41
"Income Security","Rental Payments",132297006.02
"Income Security","Interest And Dividends",175996602.47
"Income Security","Refunds",185719087.75
"Income Security","Research And Development Contracts",501893674.12
"Income Security","Personnel Compensation And Benefits",1994798076.59
"Income Security","Operations, Benefits, Services, And Materials",8499616778.34
"Income Security","Insurance Claims And Indemnities",98746542336.09
"Income Security","Grants, Subsidies, And Contributions",318120381077.8
"International Affairs","Interest And Dividends",45819.66
"International Affairs","Insurance Claims And Indemnities",14462434.81
"International Affairs","Refunds",23247091.94
"International Affairs","Travel And Transportation",625850016.79
"International Affairs","Rental Payments",752745612.72
"International Affairs","Research And Development Contracts",1445059455.49
"International Affairs","Acquisition Of Assets",2645387952.81
"International Affairs","Personnel Compensation And Benefits",4118789223.03
"International Affairs","Grants, Subsidies, And Contributions",16118352713.28
"International Affairs","Operations, Benefits, Services, And Materials",17439974025.99
"Medicare","Interest And Dividends",87
"Medicare","Acquisition Of Assets",93835.31
"Medicare","Travel And Transportation",233876.65
"Medicare","Refunds",1283940.3
"Medicare","Rental Payments",1558336
"Medicare","Personnel Compensation And Benefits",51656097.95
"Medicare","Operations, Benefits, Services, And Materials",688898944.33
"Medicare","Other",46610657112.5
"Medicare","Grants, Subsidies, And Contributions",124890624873.76
"Medicare","Insurance Claims And Indemnities",334741609423.16
"National Defense","Interest And Dividends",8314837.25
"National Defense","Refunds",426968333.05
"National Defense","Insurance Claims And Indemnities",842612800.78
"National Defense","Grants, Subsidies, And Contributions",1782158918.52
"National Defense","Rental Payments",1975313225.66
"National Defense","Travel And Transportation",10417478372.3
"National Defense","Research And Development Contracts",22209002396.8
"National Defense","Other",29587012178.63
"National Defense","Acquisition Of Assets",61503373905.5
"National Defense","Operations, Benefits, Services, And Materials",164996958811.84
"National Defense","Personnel Compensation And Benefits",199133129619.01
"Natural Resources And Environment","Interest And Dividends",2166605.57
"Natural Resources And Environment","Insurance Claims And Indemnities",27341968.35
"Natural Resources And Environment","Rental Payments",559791685.77
"Natural Resources And Environment","Travel And Transportation",1008113199.31
"Natural Resources And Environment","Acquisition Of Assets",3801483010.7
"Natural Resources And Environment","Research And Development Contracts",5418586161.02
"Natural Resources And Environment","Grants, Subsidies, And Contributions",13700726807.99
"Natural Resources And Environment","Operations, Benefits, Services, And Materials",16143593750.47
"Natural Resources And Environment","Personnel Compensation And Benefits",21542083373.86
"Net Interest","Operations, Benefits, Services, And Materials",443251
"Net Interest","Grants, Subsidies, And Contributions",1314156291.34
"Net Interest","Interest And Dividends",227237550354.18
"Social Security","Travel And Transportation",10893973.9
"Social Security","Research And Development Contracts",46520951
"Social Security","Acquisition Of Assets",52446298.62
"Social Security","Rental Payments",356068124.1
"Social Security","Grants, Subsidies, And Contributions",743495559.67
"Social Security","Operations, Benefits, Services, And Materials",2385385078.62
"Social Security","Personnel Compensation And Benefits",3292020243.32
"Social Security","Other",24439747858.15
"Social Security","Insurance Claims And Indemnities",463861922751.59
"Transportation","Interest And Dividends",4543165.31
"Transportation","Insurance Claims And Indemnities",5826542.29
"Transportation","Research And Development Contracts",98997098.11
"Transportation","Rental Payments",309393845.32
"Transportation","Travel And Transportation",463533451.14
"Transportation","Acquisition Of Assets",904859993.69
"Transportation","Other",4622595860.32
"Transportation","Operations, Benefits, Services, And Materials",4966097272.93
"Transportation","Personnel Compensation And Benefits",9902393508.86
"Transportation","Grants, Subsidies, And Contributions",16268188423.53
"Veterans Benefits And Services","Interest And Dividends",101675.5
"Veterans Benefits And Services","Travel And Transportation",739511748.75
"Veterans Benefits And Services","Rental Payments",1380018913.1
"Veterans Benefits And Services","Acquisition Of Assets",3925922722.35
"Veterans Benefits And Services","Grants, Subsidies, And Contributions",9248308754.91
"Veterans Benefits And Services","Other",16207136187.22
"Veterans Benefits And Services","Personnel Compensation And Benefits",18365149441.2
"Veterans Benefits And Services","Operations, Benefits, Services, And Materials",20449389796.47
"Veterans Benefits And Services","Insurance Claims And Indemnities",42728717905.35

